index,Date,Latitude,Longitude,Magnitude
380,03/06/1966,31.525,80.487,6.7
381,03/06/1966,31.422,80.554,6.3
382,03/07/1966,37.156,114.875,6.5
383,03/08/1966,-13.696,166.555,6.2
384,03/08/1966,1.903,126.334,6.2
385,03/08/1966,1.742,126.337,5.6
386,03/08/1966,-19.991,-68.842,5.8
387,03/12/1966,24.122,122.583,7.5
388,03/17/1966,-21.149,-179.093,6.7
389,03/19/1966,-52.655,19.709,5.6
390,03/20/1966,0.622,29.863000000000003,6.6
391,03/20/1966,-21.176,-174.429,5.6
392,03/22/1966,37.535,115.039,6.2
393,03/22/1966,37.545,115.061,6.8
394,03/23/1966,23.973000000000003,122.938,6.2
395,03/24/1966,-13.626,166.829,5.9
396,03/26/1966,37.714,115.275,6.0
397,03/26/1966,37.798,115.096,5.9
398,03/27/1966,8.865,-83.46700000000001,5.7
399,03/29/1966,23.869,142.248,6.0
400,03/29/1966,37.464,115.127,6.0
401,04/03/1966,36.617,141.121,5.7
402,04/04/1966,12.01,92.483,5.8
403,04/06/1966,-45.685,96.003,6.3
404,04/06/1966,56.382,-154.60399999999998,5.6
405,04/07/1966,26.199,127.507,5.7
406,04/08/1966,51.301,157.703,6.2
407,04/09/1966,9.409,-84.28200000000001,5.8
408,04/09/1966,-14.074000000000002,166.72400000000002,5.7
409,04/10/1966,-31.452,-71.04899999999999,6.1
410,04/11/1966,18.113,-102.557,5.7
411,04/12/1966,-38.231,-72.695,6.3
412,04/13/1966,-38.194,-73.19800000000001,5.9
413,04/16/1966,56.896,-153.601,6.2
414,04/20/1966,18.82,147.221,6.0
415,04/20/1966,41.703,48.238,6.0
416,04/21/1966,35.581,142.171,6.0
417,04/21/1966,35.6,142.037,5.9
418,04/22/1966,-37.656,-73.428,5.9
419,04/22/1966,57.271,-152.483,5.8
420,04/23/1966,-0.711,122.191,6.5
421,04/23/1966,-0.57,122.235,6.1
422,05/01/1966,-8.341000000000001,-74.142,6.4
423,05/02/1966,-5.996,149.735,6.1
424,05/02/1966,-8.495,114.967,5.6
425,05/05/1966,24.298,122.595,6.2
426,05/09/1966,34.425,26.455,6.0
427,05/11/1966,48.888000000000005,156.275,6.2
428,05/11/1966,48.848,156.28799999999998,5.6
429,05/11/1966,48.853,156.13299999999998,5.8
430,05/14/1966,34.023,138.983,5.7
431,05/15/1966,51.41,-178.291,6.1
432,05/16/1966,-6.974,129.352,5.7
433,05/17/1966,-44.195,-75.47800000000001,5.6
434,05/18/1966,24.97,-109.085,5.9
435,05/19/1966,53.934,-164.122,6.0
436,05/20/1966,13.901,146.481,6.1
437,05/20/1966,19.374,122.147,5.5
438,05/23/1966,30.081,139.99200000000002,5.7
439,05/23/1966,13.894,146.41,5.7
440,05/25/1966,-6.384,131.04399999999998,5.7
441,05/25/1966,-21.658,169.81400000000002,5.7
442,05/25/1966,-52.772,160.124,6.1
443,05/28/1966,24.274,122.631,5.8
444,06/01/1966,-23.461,-174.657,5.8
445,06/02/1966,50.993,175.957,5.5
446,06/02/1966,-0.047,123.13,5.8
447,06/04/1966,46.418,152.735,6.0
448,06/06/1966,-14.929,167.83900000000003,5.6
449,06/06/1966,36.421,71.22399999999999,6.6
450,06/06/1966,9.528,126.505,6.0
451,06/07/1966,-14.828,-75.835,6.2
452,06/07/1966,24.328000000000003,122.66,5.6
453,06/07/1966,11.323,139.593,6.8
454,06/09/1966,44.238,147.766,5.7
455,06/11/1966,51.399,-178.35,5.6
456,06/13/1966,-21.242,174.342,6.1
457,06/13/1966,-12.191,167.132,6.7
458,06/15/1966,-10.318,161.006,7.1
459,06/15/1966,-10.061,161.149,6.8
460,06/15/1966,-10.033,160.937,5.9
461,06/15/1966,-10.172,160.85,5.7
462,06/21/1966,-11.022,165.171,5.8
463,06/21/1966,50.164,157.767,5.5
464,06/22/1966,-7.24,124.583,7.0
465,06/23/1966,43.726000000000006,140.19,5.6
466,06/27/1966,29.504,80.845,6.0
467,06/27/1966,29.543000000000003,80.915,5.7
468,06/27/1966,29.706,80.935,6.3
469,06/27/1966,-38.36,177.139,5.6
470,06/29/1966,-13.794,166.644,6.0
471,07/01/1966,24.739,122.414,6.4
472,07/04/1966,51.745,176.296,5.8
473,07/04/1966,51.826,179.778,6.8
474,07/05/1966,51.867,-179.88,5.8
475,07/10/1966,24.303,125.186,6.1
476,07/11/1966,-19.474,-173.25400000000002,6.0
477,07/12/1966,44.707,37.272,5.7
478,07/19/1966,56.24100000000001,164.75400000000002,6.4
479,07/19/1966,51.748000000000005,-173.47799999999998,5.6
480,07/21/1966,-17.757,-178.55,6.4
481,07/22/1966,51.664,-173.67700000000002,5.7
482,07/27/1966,-24.16,-70.082,5.8
483,08/01/1966,29.937,68.778,6.0
484,08/01/1966,29.906,68.681,6.2
485,08/01/1966,29.988000000000003,68.58800000000001,6.9
486,08/05/1966,-10.987,162.767,5.7
487,08/07/1966,50.513000000000005,-171.301,6.9
488,08/07/1966,-10.692,161.237,5.6
489,08/07/1966,31.0395,-113.77733329999998,6.35
490,08/08/1966,19.279,-108.27,6.0
491,08/10/1966,-20.161,-175.22799999999998,6.0
492,08/11/1966,-23.495,-175.808,5.9
493,08/12/1966,52.563,-161.63,5.8
494,08/15/1966,28.565,78.961,5.6
495,08/15/1966,13.295,121.467,6.0
496,08/15/1966,3.487,64.014,6.0
497,08/16/1966,36.395,70.903,5.8
498,08/16/1966,37.38,-114.157,5.7
499,08/16/1966,-21.343000000000004,171.484,6.2
500,08/17/1966,-5.026,125.119,5.7
501,08/17/1966,52.156000000000006,175.053,5.6
502,08/18/1966,14.478,-91.84,5.8
503,08/18/1966,-0.111,125.071,6.1
504,08/18/1966,-0.0069999999999999,125.026,6.0
505,08/19/1966,39.235,41.572,6.8
506,08/20/1966,-3.195,-77.166,5.7
507,08/20/1966,42.981,140.708,5.8
508,08/20/1966,39.438,41.094,6.2
509,08/20/1966,-23.734,-175.678,6.1
510,08/21/1966,8.48,126.645,6.0
511,08/22/1966,-1.741,134.06,5.9
512,08/22/1966,-22.499,170.74200000000002,6.3
513,08/23/1966,23.873,123.228,5.7
514,08/26/1966,-27.693,-177.185,5.8
515,08/26/1966,-22.128,170.04,6.0
516,08/28/1966,-36.094,178.575,5.7
517,08/30/1966,61.197,-147.781,5.6
518,09/08/1966,2.388,128.49,7.7
519,09/08/1966,45.401,150.549,5.6
520,09/11/1966,6.761,-72.976,5.9
521,09/12/1966,-22.987,170.75,6.3
522,09/12/1966,39.385,-120.252,5.9
523,09/14/1966,-60.244,-27.199,6.7
